supplier_code,brand_code,category,description,size,stone_color,plating_color,supplier_price_usd,sale_price_eur,supplier_quantity,image_file,pdf_page
TD30901-1410,BEL-106,Internally Threaded Belly Ring,F136 TItanium internally threaded belly ring with clear CZ stones,1.6*10mm,Clear CZ,Titanium color,8.89,34.9,10,TD30901-1410.webp,80
TD40901-CL1610,BEL-107,Internally Threaded Belly Ring,ASTM F136 Titanium internally threaded belly ring with clear CZ,1.6*10+5mmTop,Clear CZ,Titanium color,8.44,29.9,53,TD40901-CL1610.webp,80
TD40901G-CL1610,BEL-108,Internally Threaded Belly Ring,PVD gold color ASTM F136 Titanium internally threaded belly ring with clear CZ,1.6*10+5mmTop,Clear CZ,PVD gold color,8.56,34.9,59,TD40901G-CL1610.webp,80
TD50301G-CL1410,BEL-109,Internally Threaded Belly Ring,PVD gold color ASTM F136 titanium internally threaded belly button ring with 5A clear CZ,"1.6*10*7/9+4mmTOP,",Clear CZ,PVD gold color,4.11,19.9,14,TD50301G-CL1410.webp,80
TD50302-1410,BEL-110,Internally Threaded Belly Ring,clear CZ ASTM F136 Titanium internally threaded belly ring with 4mm CZ,1.6*10+4mmTop,Clear CZ,Titanium color,6.89,29.9,2,TD50302-1410.webp,80
TD50601-CL1412,BEL-111,Internally Threaded Belly Ring,ASTM F136 titanium belly button ring with 5A clear CZ,1.6*12mm,Clear CZ,Titanium color,7.62,29.9,13,TD50601-CL1412.webp,80
TD50601G-CL1412,BEL-112,Internally Threaded Belly Ring,PVD gold color ASTM F136 titanium belly button ring with 5A clear CZ,1.6*12mm,Clear CZ,PVD gold color,7.74,29.9,16,TD50601G-CL1412.webp,80
TD50602-CL141185,BEL-113,Internally Threaded Belly Ring,ASTM F136 Titanium internally threaded belly ring with 5A clear CZ,1.6*11+5mm top 18*8mm total CZ: rd 8mm=1 5mm=1 pr 7*5mm=1,Clear CZ,Titanium Color,6.22,29.9,43,TD50602-CL141185.webp,80
TD50602G-CL141185,BEL-114,Internally Threaded Belly Ring,PVD gold color ASTM F136 Titanium internally threaded belly ring with 5A clear CZ,1.6*11+5mm top 18*8mm total CZ: rd 8mm=1 5mm=1 pr 7*5mm=1,Clear CZ,PVD gold color,6.34,29.9,69,TD50602G-CL141185.webp,80
TD51201-CL1410,BEL-115,Internally Threaded Belly Ring,ASTM F136 Titanium Internally Threaded Belly Ring,"1.6*10+4mmtop,10.25*7. 58mm(角*边) total",Clear CZ,Titanium Color,5.11,24.9,76,TD51201-CL1410.webp,80
TD51201G-CL1410,BEL-116,Internally Threaded Belly Ring,PVD Gold ASTM F136 Titanium Internally Threaded Belly Ring,"1.6*10+4mmtop,10.25*7. 58mm(角*边) total",Clear CZ,PVD Gold,5.23,24.9,74,TD51201G-CL1410.webp,80
TDS4054G-1410,BEL-117,Threadless Belly Ring,PVD Gold Color ASTM F136 Titanium Threadless Belly Ring,1.6*10*5mm； 7.9*9.5mmTop,Clear CZ,PVD Gold,4.78,24.9,49,TDS4054G-1410.webp,80
TDS4069-1408,BEL-118,Threadless Belly Ring,ASTM F136 Titanium Threadless Belly Ring,1.6*8*5mm； 6.2*7.4mmTop,Clear CZ,Titanium Color,5.89,24.9,50,TDS4069-1408.webp,80
TDS5037-1408,BEL-119,Threadless Belly Ring,ASTM F136 Titanium Threadless belly ring,1.6*8*5mm； 7.3*4.3mmTop,,Titanium Color,3.44,17.9,50,TDS5037-1408.webp,80
TDS5039-P05-14106,BEL-120,Threadless Belly Ring,PVD Gold ASTM F136 Titanium Threadless belly ring +OP05,1.6*10*5+6mmTop,OP05,Titanium Color,1.91,14.9,42,TDS5039-P05-14106.webp,80
TDS5039-PK14105,BEL-121,Threadless Belly Ring,PVD Gold ASTM F136 Titanium Threadless belly ring +cubic zircon,1.6*10*5+5mmTop,Pink CZ,Titanium Color,1.2,14.9,23,TDS5039-PK14105.webp,80
TDS5041-PD1410,BEL-122,Threadless Belly Ring,ASTM F136 Titanium Threadless Belly Ring,1.6*10*5mm； 6*8.5mmTop,Peridot CZ,Titanium color,4.89,24.9,43,TDS5041-PD1410.webp,80
TDS5042-1412,BEL-123,Threadless Belly Ring,ASTM F136 Titanium Threadless Belly Ring with Clear CZ,1.6*12*5mm； 6.6*6.8mmTop,Clear CZ,Titanium Color,4.0,19.9,47,TDS5042-1412.webp,80
TDS5043-1412,BEL-124,Threadless Belly Ring,ASTM F136 Titanium Threadless Belly Ring with Clear CZ,1.6*12*5mm； 8.6*7.5mmTop,Clear CZ,Titanium Color,5.78,24.9,43,TDS5043-1412.webp,80
TDS5044-1412,BEL-125,Threadless Belly Ring,ASTM F136 Titanium Threadless Belly Ring with clear/red CZ,1.6*12*5mm； 5.9*7.6mmTop,Clear/Red CZ,Titanium Color,4.22,19.9,28,TDS5044-1412.webp,80
TDS5045-1410,BEL-126,Threadless Belly Ring,ASTM F136 Titanium Threadless Belly Ring with Curved Post Base,1.6*10*5mm； 10.4*6.9mmTop,Clear CZ,Titanium Color,3.56,19.9,27,TDS5045-1410.webp,80
TDS5046-1410,BEL-127,Threadless Belly Ring,ASTM F136 Titanium Threadless Belly Ring,1.6*10*5+5.2mmTop,,Titanium Color,4.44,19.9,28,TDS5046-1410.webp,80
TDV4049-1410,BEL-133,Internally Threaded Belly Ring,ASTM F136 Titanium belly clicker ing,1.6*10mm,,Titanium color,5.78,24.9,90,TDV4049-1410.webp,81
TDV4049G-1410,BEL-134,Internally Threaded Belly Ring,PVD gold color ASTM F136 Titanium belly clicker ing,1.6*10mm,,PVD gold color,5.9,24.9,48,TDV4049G-1410.webp,81
TDV4051-1410,BEL-135,Internally Threaded Belly Ring,ASTM F136 Titanium internally threaded belly ring + cubic zircon,1.6*10+4mmtop CZ RD 3.5mm=1 2.2mm=1 2mm=1 1 5mm=1 BT 2*4mm=2,Clear CZ,Titanium Color,5.78,24.9,76,TDV4051-1410.webp,81
TDV4051G-1410,BEL-136,Internally Threaded Belly Ring,PVD gold color ASTM F136 Titanium internally threaded belly ring + cubic zircon 1,1 5mm=1 BT 2*4mm=2 1.6*10+4mmtop CZ RD 3.5mm=1 2.2mm=1 2mm=1 1 5mm=1 BT 2*4mm=2,Clear CZ,PVD gold color,5.9,24.9,54,TDV4051G-1410.webp,81
TDV4057-1410,BEL-137,Internally Threaded Belly Ring,1 ASTM F136 Titanium internally threaded belly button ring,1 5mm=1 BT 2*4mm=2 1.6*10+4/8.7*10mm; CZ RD 3.5mm=1 2.5mm=1 1.8mm=3 BT 2*4MM=3,Clear CZ,Titanium color,5.78,24.9,62,TDV4057-1410.webp,81
TDV4057G-1410,BEL-138,Internally Threaded Belly Ring,PVD gold color ASTM F136 Titanium internally threaded belly button ring,BT 2*4MM=3 1.6*10+4/8.7*10mm CZ RD 3.5mm=1 2.5mm=1 1.8mm=3 BT 2*4MM=3,Clear CZ,PVD Gold,5.9,24.9,63,TDV4057G-1410.webp,81
TDV4058-1410,BEL-139,Internally Threaded Belly Ring,ASTM F136 Titanium internally threaded belly ring + cubic zircon,BT 2*4MM=3 1.6*10+4/11*9.8mm; CZ RD 3.5MM=1 3MM=1 2MM=1 MQ 2 5*5MM=2,Clear CZ,Titanium color,5.78,24.9,85,TDV4058-1410.webp,81
TDV4127-1410,BEL-140,Internally Threaded Belly Ring,ASTM F136 titanium internally threaded belly button ring with 5A clear CZ,"MQ 2 5*5MM=2 1.6*10+5mmtop,17.27*1 1.2mm total CZ RD 5MM=1 2.6MM=6",Clear CZ,Titanium color,6.67,29.9,69,TDV4127-1410.webp,81
TDV4127G-1410,BEL-141,Internally Threaded Belly Ring,PVD gold color ASTM F136 titanium internally threaded belly button ring with 5A clear CZ,"1.6*10+5mmtop,17.27*1 1.2mm total CZ RD 5MM=1 2.6MM=6",Clear CZ,PVD gold color,6.79,29.9,65,TDV4127G-1410.webp,81
TDV5012-AQ1410,BEL-142,Internally Threaded Belly Ring,ASTM F136 Titanium internally threaded navel ring +cubic zircon,1.6*10+4mmTop， 15.15*10.5mm Total；CZ RD 4MM=1 2.5MM=2 MQ 3*6MM=2 PR 3*5MM=1,Clear/Aqua CZ,Titanium Color,7.11,29.9,75,TDV5012-AQ1410.webp,81
TDV5012-BK1410,BEL-143,Internally Threaded Belly Ring,ASTM F136 Titanium internally threaded navel ring +cubic zircon,PR 3*5MM=1 1.6*10+4mmTop， 15.15*10.5mm Total；CZ RD 4MM=1 2.5MM=2 MQ 3*6MM=2 PR 3*5MM=1,Clear/Black CZ,Titanium Color,6.67,29.9,49,TDV5012-BK1410.webp,81
TDV5012G-AQ1410,BEL-144,Internally Threaded Belly Ring,PVD gold plated over ASTM F136 Titanium internally threaded navel ring+cubic zircon,PR 3*5MM=1 1.6*10+4mmTop， 15.15*10.5mm Total；CZ RD 4MM=1 2.5MM=2 MQ 3*6MM=2 PR 3*5MM=1,Clear/Aqua CZ,PVD Gold,7.33,29.9,82,TDV5012G-AQ1410.webp,81
TDV5012G-BK1410,BEL-145,Internally Threaded Belly Ring,PVD gold plated over ASTM F136 Titanium internally threaded navel ring+cubic zircon,PR 3*5MM=1 1.6*10+4mmTop， 15.15*10.5mm Total；CZ RD 4MM=1 2.5MM=2 MQ 3*6MM=2 PR 3*5MM=1,Clear/Black CZ,PVD Gold,6.89,29.9,54,TDV5012G-BK1410.webp,81
TDV5012G-GN1410,BEL-146,Internally Threaded Belly Ring,PVD gold plated over ASTM F136 Titanium internally threaded navel ring+cubic zircon,PR 3*5MM=1 1.6*10+4mmTop， 15.15*10.5mm Total；CZ RD 4MM=1 2.5MM=2 MQ 3*6MM=2 PR 3*5MM=1,Clear/Green CZ,PVD Gold,7.33,29.9,70,TDV5012G-GN1410.webp,81
TDV5012-GN1410,BEL-147,Internally Threaded Belly Ring,ASTM F136 Titanium internally threaded navel ring +cubic zircon,"PR 3*5MM=1 1.6*10+4mmtop 15.15*10.5mm total,CZ RD 4MM=1 2.5MM=2 MQ 3*6MM=2 PR 3*5MM=1",Clear/Green CZ,Titanium Color,7.11,29.9,80,TDV5012-GN1410.webp,81
TDV5012G-OP171410,BEL-148,Internally Threaded Belly Ring,PVD gold plated overASTM F136 Titanium internally threaded navel ring+synthetic opal+cubic zircon,PR 3*5MM=1 1.6*10+4mmtop 15.15*10.5mm CZ RD 4MM=1 2.5MM=2 MQ 3*6MM=2,Clear CZ/OP17,PVD Gold,8.0,29.9,37,TDV5012G-OP171410.webp,81
TDV5012G-PK1410,BEL-149,Internally Threaded Belly Ring,PVD gold plated over ASTM F136 Titanium internally threaded navel ring+cubic zircon,MQ 3*6MM=2 1.6*10+4mmTop， 15.15*10.5mm Total；CZ RD 4MM=1 2.5MM=2 MQ 3*6MM=2 PR 3*5MM=1,Clear/Pink CZ,PVD Gold,7.33,29.9,1,TDV5012G-PK1410.webp,81
TDV5012G-PP1410,BEL-150,Internally Threaded Belly Ring,PVD gold plated over ASTM F136 Titanium internally threaded navel ring+cubic zircon,PR 3*5MM=1 1.6*10+4mmTop， 15.15*10.5mm Total；CZ RD 4MM=1 2.5MM=2 MQ 3*6MM=2 PR 3*5MM=1,Clear/Purple CZ,PVD Gold,7.33,29.9,42,TDV5012G-PP1410.webp,81
TDV5012G-RE1410,BEL-151,Internally Threaded Belly Ring,PVD gold plated over ASTM F136 Titanium internally threaded navel ring+cubic zircon,PR 3*5MM=1 1.6*10+4mmTop， 15.15*10.5mm Total；CZ RD 4MM=1 2.5MM=2 MQ 3*6MM=2 PR 3*5MM=1,Clear/Garnet CZ,PVD Gold,7.33,29.9,40,TDV5012G-RE1410.webp,81
TDV5012G-SA1410,BEL-152,Internally Threaded Belly Ring,PVD gold plated over ASTM F136 Titanium internally threaded navel ring+cubic zircon,PR 3*5MM=1 1.6*10+4mmTop， 15.15*10.5mm Total；CZ RD 4MM=1 2.5MM=2 MQ 3*6MM=2 PR 3*5MM=1,Clear/Sapphir e Blue CZ,PVD Gold,7.33,29.9,2,TDV5012G-SA1410.webp,81
TDV5012-OP171410,BEL-153,Internally Threaded Belly Ring,ASTM F136 Titanium internally threaded navel ring+synthetic opal+cubic zircon,PR 3*5MM=1 1.6*10+4mmtop 15.15*10.5mm CZ RD 4MM=1 2.5MM=2 MQ 3*6MM=2,Clear CZ/OP17,Titanium Color,7.78,29.9,28,TDV5012-OP171410.webp,81
TDV40424G-1410,BEL-158,Internally Threaded Belly Ring,PVD gold plated over F136 Titanium internally threaded belly ring +cubic zircon,1.6*10+5mmTop；CZ RD 2MM=3 5MM=1 OV 4*6MM=1,Clear/Rose CZ,PVD gold color,5.89,24.9,96,TDV40424G-1410.webp,82
